"path","language","lines","class","purpose","importance","used_by","depends_on"
".gitattributes","Git metadata","24","","repository behavior metadata","P3","Git","repository files"
".github/workflows/build-qdlrs-windows.yml","GitHub Actions YAML","35","CI workflow","CI build of Windows qdlrs tooling","P1","GitHub Actions","Rust/Windows toolchain"
".github/workflows/build.yml","GitHub Actions YAML","89","CI workflow","CI App test/release APK/payload build","P1","GitHub Actions","JDK; Gradle; Android SDK; secrets"
".gitignore","Git metadata","11","","repository behavior metadata","P3","Git","repository files"
"README.md","Markdown","98","Documentation/config","repository entry documentation","P2","developers","project files"
"app/build.gradle.kts","Gradle Kotlin DSL","54","build.gradle","App SDK, version, signing and dependencies","P0","Gradle","AGP; framework-stubs; JUnit"
"app/src/main/AndroidManifest.xml","XML","87","AndroidManifest","App permissions and component declarations","P0","Android package manager","App classes; privileged permissions"
"app/src/main/java/com/zui/zuicontrol/BootReceiver.kt","Kotlin","40","BootReceiver","start quick notification after direct/normal boot","P1","Android broadcast","ZuiControlQuickService"
"app/src/main/java/com/zui/zuicontrol/DolbyTileService.kt","Kotlin","66","DolbyTileService","QS Dolby toggle","P1","SystemUI","Settings.System"
"app/src/main/java/com/zui/zuicontrol/MainActivity.kt","Kotlin","919","MainActivity","ZuiControl four-page control UI and command orchestration","P1","user / launcher","ZuiControlClient; ZuiControlRequest; PackageManager"
"app/src/main/java/com/zui/zuicontrol/PackageNames.kt","Kotlin","7","PackageNames","package-name validation helper","P1","MainActivity","Android package naming rules"
"app/src/main/java/com/zui/zuicontrol/RefreshSceneController.kt","Kotlin","31","RefreshSceneController","UI refresh-rate fallback/status helpers","P1","MainActivity; QuickService","Settings.System"
"app/src/main/java/com/zui/zuicontrol/ZuiControlClient.kt","Kotlin","56","ZuiControlClient","App wrapper for zui_control Binder manager","P0","Activity; Tile; QuickService","android.zui.ZuiControlManager"
"app/src/main/java/com/zui/zuicontrol/ZuiControlContract.kt","Kotlin","33","ZuiControlContract","shared App constants and mode/rate definitions","P1","all App control components","Settings keys; Binder protocol"
"app/src/main/java/com/zui/zuicontrol/ZuiControlQuickService.kt","Kotlin","233","ZuiControlQuickService","sticky foreground notification and quick controls","P1","BootReceiver; Android service","ZuiControlClient; ZuiControlRequest; NotificationManager"
"app/src/main/java/com/zui/zuicontrol/ZuiControlRequest.kt","Kotlin","110","ZuiControlRequest","Settings request and terminal ACK protocol","P0","MainActivity; QuickService","Settings.System; ZuiControlContract"
"app/src/main/java/com/zui/zuicontrol/ZuiControlTileService.kt","Kotlin","48","ZuiControlTileService","QS refresh-rate tile","P1","SystemUI","ZuiControlClient"
"app/src/main/res/drawable/ic_action_export.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_action_import.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_action_logs.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_action_refresh.xml","XML","15","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_action_stop.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_nav_display_rate.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_nav_performance.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_nav_refresh.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_nav_system.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_nav_threads.xml","XML","9","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/ic_stat_zuicontrol.xml","XML","10","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/notify_rate_normal.xml","XML","8","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/drawable/notify_rate_selected.xml","XML","5","Android drawable","Android vector/state drawable resource","P2","App UI/resources","Android resource compiler"
"app/src/main/res/layout/notification_zuicontrol.xml","XML","49","Android layout","notification layout resource","P2","ZuiControlQuickService","Android views/resources"
"app/src/main/res/values/strings.xml","XML","6","Android values","App strings","P2","App UI/services","Android resources"
