path	classification	planned_action	planned_bytes	precondition	status
D:\3.VScode\Mi\flash\ZuiControl_9008_V20_4_UPERF_REGULAR_LOG_20260903103038	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	14061006480	canonical docs exist; target identity exact	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\ZuiControl_9008_RECOVERY_V20_3B_20260830181816	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	14061006445	Golden verified at canonical destination	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\ZuiControl_9008_SAFE_072	DELETE_DUPLICATE	DELETE	14061006444	Golden verified at canonical destination	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\ZuiControl_9008_SAFE_072_V48_ccd9c9a	DELETE_DUPLICATE	DELETE	14061006425	Golden verified at canonical destination	APPROVED_DRYRUN
D:\3.VScode\Mi\【B刷机】072	DELETE_DUPLICATE	DELETE	14063878816	Golden verified at canonical destination	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\Log	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	819832886	qdl lessons and compactor tests retained	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\ZuiControl_9008_V20_4_UPERF_SUPERVISOR_20260903065226	DELETE_REGENERABLE	DELETE	102362767	final supervisor source/tests in Git	APPROVED_DRYRUN
D:\3.VScode\Mi\flash\ZuiControl_9008_RECOVERY_BOOT_072	DELETE_DUPLICATE	DELETE	102229009	original and Golden boot retained	APPROVED_DRYRUN
D:\3.VScode\Mi\重要文件	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	1268968087	production compatibility code in Git retained	APPROVED_DRYRUN
D:\3.VScode\Mi\ZuiControl_Archive	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	363355053	knowledge docs and Golden closure evidence retained	APPROVED_DRYRUN
D:\3.VScode\Mi\boot.img	DELETE_DUPLICATE	DELETE	100663296	original/Golden identities verified	APPROVED_DRYRUN
D:\3.VScode\Mi\evidence	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	5782060	current evidence migrated	APPROVED_DRYRUN
D:\3.VScode\Mi\docs	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	610588	canonical docs in Git retained	APPROVED_DRYRUN
D:\3.VScode\Mi\ZuiControl_Workspace	DELETE_REGENERABLE	DELETE	378528	new canonical lifecycle in place	APPROVED_DRYRUN
D:\3.VScode\Mi\ZuiControl\V20_4_UPERF_READY_MARKER_DEVICE_STARTUP_RUNTIME_GATE	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	294953243	untracked historical raw only; recheck Git status	APPROVED_DRYRUN
D:\3.VScode\Mi\work\<all except migrated/protected>	DELETE_REGENERABLE	DELETE	1924258727	SDK/cache/stage evidence migrated; JKS/scene_vtools excluded	APPROVED_DRYRUN
D:\3.VScode\Mi\V20_4_UPERF_*.zip*	DELETE_AFTER_KNOWLEDGE_EXTRACTION	DELETE	5003574	knowledge docs complete	APPROVED_DRYRUN
D:\3.VScode\Mi\V21_PHASE1_GOLDEN_FREEZE_ENGINEERING_CLEANUP.zip*	DELETE_DUPLICATE	DELETE	71337	new Gate package supersedes it	APPROVED_DRYRUN

EXACT_PLAN_TOTAL			75412326868	136 targets; every byte/file/tree SHA matched independent DryRun	DRYRUN_PASS
TOTAL_WITH_EXACT_GIT_RAW_AND_CLEAN_WORKTREES			75723521721	Adds ignored repo raw and two separately verified clean worktrees	APPROVED
